testnet address,score
0xa78c74b0c61131f97309ec0d335570fbf2829926dce13ca1,5
0x7465897e1caa7c1e4214f926ad6f0b366ec17882671842b7,6
0x2e7c83d647d993fed4ee63bdb605f771bc91827768e37496,11
0x3bb7ff36405d896f6c3b05d262560cce3474f1f7cadd5b99,10
0xd0884150e7c8ea6d643bfb84ae807803abb4bd98f653fbcd,10
0xcc20d2420ed3ef094b5d4049003ccc74049c856fad109ac1,6
0x0beffcfa4de3bc6b60e867876c3b344ef30848fafacb492d,5
0x6fabb65b1734b5a64619391375044e78fcc27cc79ebed7bc,5
0xddd8d85017f8186c1e96c828edb20f2708a033abc0419b6f,5
0x10d823f49dd6e81b18fd67bf4dcd50be3e2715c49500d04b,28
0x5db7f950d3854f7e26ad6f3f4854b685167da9cd460b49e5,12
0x988a4a06546d5b13d6a0fe3323712b1e8409ba096b09c349,11
0xc25352cb35bf2ec29364b34f35f542e4b5503d0c07f98c06,12
0x709a6c71d368ee7964ad1bbc83fe3ae3426a3527b4dd9fe2,21
0x7f69dde3d855b5a9547268ad426f3bbea688bc46c320320e,11
0xaf3400bc5c7de487cf1fd99ae1b90f4d3c5970027a27127a,12
0x42a7474c92a634b21a881acf0bc4bb79de08d6f912d363d2,5
0x6bfb048273981c0592aefb1037d6348db4b64f2116d3344e,5
0x2cb85ce890c73abe5582615ff5eab89ff37085775b6a0292,5
0xaf4a84bf844ca7ac198d6d4e5d1dd24c9fca92485ea2d8b2,5
0x62a42c65d4641f4b7e918964ad603fc6cc59c2ff824196e3,9
0x89bcc399e345c2b6cbed28634c860162280c3ba33fb289ed,5
0x681f2eff761d715a3bf1a436417ecc2550e0f16c4287b403,5
0x867237ce904a61a8c954ba5047f1f1b8188ee6022b6a543b,12
0xf2c7565f03d866bc08e0de0df39ce7b38589f878672c3eef,11
0x7772e051b3293f978c7db2bf9747865d33e826743a7ee2dd,5
0x492f58fe8ef0e018e34128e6912769036517143949c5603e,11
0x1f88ac8e9d638c8105e2b91032787c71b0ef819c88af9e3d,10
0xc93180c86a6b81fb15fd3191005216cca2a952c4ee9b8d6e,16
0xd32b4b6874c900ffa49620e367bcd3a8c8e79f64210fc7e6,13
0xc0d99f61deb4920aa0852303697e8ff45cb9d0c58789c6b5,5
0x4715413e9b96af16d6dac930c0d316673fa3e85caa3b8da5,12
0xbfaefd1e15722e383431a31e4bffe8f3df214e7b4a3cbda4,11
0xe21cdbf759764410b7e25d24a5c45f6a3570c6fd0845255c,5
0x81839ad01bd8f8ebde85835b4bb302e8193cfb080000002f,25
0xa852d2d704515ce8b0ddae3da55458bb0a9bc3ab05b90155,68
0x668875688cfb8ef413c70e9e07e7b7de39be87e61af20bb7,5
0x5b12b6ebc1da48e767d2300ca37080d541e20579ae0f7bd7,6
0x993c7fb53edf204f6907429dee8548787f3618621aa64d7b,5
0xfcb6d0294b5db95ad68ce0f1570e01b52b3e27cd2c4b1a19,25
0x4a2bb41ab6db72edd0e886ec200efe008a541b5faa0a71e8,12
0x568692ef35d9b32d10c71765824085e85adf45733359d759,5
0x09b9735a342a7cbac5288a4d18ebbb46806daea121151a16,17
0xd0bdeda4861d40469bc16e40764d395fcc1b326feadf6bcb,25
0xf4dd34a71261272dbfa265f142d8e569bed9659ee160a8f9,5
0xf8b294e9ab5f6d3932f8cc24477d8b0dc14b97cb49c006c8,15
0xe733e6796f9af313871d4b4688724c5d08a88ae02e2eff00,5
0xa3dd491ae62b1c9214424ff3c488cfb43673eeaa92e783b0,5
0xdcdb0b69d072a41698bb6be51c0c66121cbc14dc82977a5f,11
0xe45a9f5d115833e30dace321bd7ee01bda1a0bc01341f388,7
0x1e39276f06b16ab20dc6bd9129b8067f9cc4b61971010a06,6
0x8e6fe1ccf82f6582c27def24650664acb10a797959c55581,9
0xf4bc634fd48c68564c2204aef2cb374a6e35d35fbdbab8fc,11
0xe306a1678865fdd42f6f9738458ecfafa2043cc47ea25d98,9
0x19e4d523b0c142509488912186243f55ea76858635c1face,76
0xcaa47845f4ce0e1cd0c0c0a1443654add3647987dec3c587,13
0x4b3262ca86ce0d4e145003a0b516f2d65455bec802983579,25
0xcbfbf41fb25834d1694883de9dac0abc01f88e306159a577,9
0x03e9f2ec955e6b673d91bdaecd71c9bb1ec70a799c59a2a9,10
0x3239933cad120def22708b6a4e7570ef04fcfb1e455488b7,25
0xb059a00cac17858895ca975808516a7fa54c45f9877b0575,5
0x456cd118cada5661726a77b067310a8fbf435300fdde2ad4,5
0x69e83a2966c85016cfe2531d25787ebf3425dc2869f0250e,6
0xb864ecc1faf92130f9a871e234d74987d47dd904f8f4129e,5
0xb23c564d16d8a66fb1ce871146f0704f851823fd0ec0ff52,5
0xdf1e65ac703504dd47dc49d06bb429f6a37f84ab065ab27b,10
0x600c408704db2c54d8d043ecb37b3b246e50e8f85e7e10d8,5
0xf82d6fdd18fc216e5305eee2591564bc6fadb9841d65ce72,5
0x6eb19ddfbeb3b5eeb480bcdce7d7ce7c6d841c82b89d67fb,10
0xfcbf3f7b770f924dd2b109faca4a0de6b83b07d0b1b3a91a,11
0x777e80fff8a378f012ad5831a08f4c3678b48f4e49558ce2,5
